arm,brief,replicate,state,raw_candidates,pool_size,distinct_k,pool_diversity,collapse_rate,input_tokens,output_tokens
S1-C0,biz-01,0,completed,30,30,30,0.447622,0.000000,364,2306
S1-C0,biz-01,1,completed,31,29,29,0.433018,0.064516,364,2526
S1-C0,biz-02,0,completed,31,24,24,0.335358,0.225806,359,2570
S1-C0,biz-02,1,completed,30,22,22,0.357080,0.266667,359,1642
S1-C0,biz-07,0,completed,30,24,24,0.384656,0.200000,358,2663
S1-C0,biz-07,1,completed,30,20,20,0.325429,0.333333,358,2122
S1-C0,prod-01,0,completed,31,31,31,0.410260,0.000000,362,1883
S1-C0,prod-01,1,completed,30,29,29,0.413685,0.033333,362,1950
S1-C0,prod-07,0,completed,30,24,24,0.368427,0.200000,488,3575
S1-C0,prod-07,1,completed,30,23,23,0.383672,0.233333,488,2894
S1-C0,prod-08,0,completed,30,28,28,0.401957,0.066667,362,3176
S1-C0,prod-08,1,completed,30,29,29,0.441345,0.033333,362,2517
S1-C0,sci-01,0,completed,30,28,28,0.392828,0.066667,345,1773
S1-C0,sci-01,1,completed,30,29,29,0.443048,0.033333,345,2267
S1-C0,sci-02,0,completed,30,27,27,0.419863,0.100000,345,2594
S1-C0,sci-02,1,completed,30,27,27,0.418934,0.100000,345,1999
S1-C0,sci-07,0,completed,31,28,28,0.397394,0.096774,347,3898
S1-C0,sci-07,1,completed,30,29,29,0.392464,0.033333,347,2371
S1-C0,aut-01,0,completed,30,24,24,0.426984,0.200000,339,1119
S1-C0,aut-01,1,completed,30,29,29,0.469111,0.033333,339,2331
S1-C0,aut-07,0,completed,31,29,29,0.481342,0.064516,341,2460
S1-C0,aut-07,1,completed,31,27,27,0.475012,0.129032,341,2671
S1-C0,aut-08,0,completed,30,26,26,0.418021,0.133333,338,1451
S1-C0,aut-08,1,completed,30,27,27,0.493946,0.100000,338,2655
S1-N10,biz-01,0,completed,10,10,10,0.397637,0.000000,364,994
S1-N10,biz-01,1,completed,10,10,10,0.429924,0.000000,364,1029
S1-N10,biz-02,0,completed,10,9,9,0.337770,0.100000,359,813
S1-N10,biz-02,1,completed,10,7,7,0.328077,0.300000,359,747
S1-N10,biz-07,0,completed,10,4,4,0.262847,0.600000,358,728
S1-N10,biz-07,1,completed,10,6,6,0.283123,0.400000,358,820
S1-N10,prod-01,0,completed,10,9,9,0.326437,0.100000,362,821
S1-N10,prod-01,1,completed,10,9,9,0.333920,0.100000,362,897
S1-N10,prod-07,0,completed,10,10,10,0.370139,0.000000,488,963
S1-N10,prod-07,1,failed,,,,,,488,1304
S1-N10,prod-08,0,completed,10,8,8,0.360031,0.200000,362,1326
S1-N10,prod-08,1,completed,10,9,9,0.354175,0.100000,362,1330
S1-N10,sci-01,0,completed,10,10,10,0.428929,0.000000,345,962
S1-N10,sci-01,1,completed,10,10,10,0.404998,0.000000,345,901
S1-N10,sci-02,0,completed,10,10,10,0.456100,0.000000,345,1279
S1-N10,sci-02,1,completed,10,9,9,0.425256,0.100000,345,1021
S1-N10,sci-07,0,completed,10,10,10,0.388717,0.000000,347,1122
S1-N10,sci-07,1,completed,10,10,10,0.398184,0.000000,347,2650
S1-N10,aut-01,0,completed,10,10,10,0.425610,0.000000,339,567
S1-N10,aut-01,1,completed,10,10,10,0.436121,0.000000,339,524
S1-N10,aut-07,0,completed,10,10,10,0.467821,0.000000,341,556
S1-N10,aut-07,1,completed,10,10,10,0.500857,0.000000,341,674
S1-N10,aut-08,0,completed,10,10,10,0.447852,0.000000,338,871
S1-N10,aut-08,1,completed,10,9,9,0.425140,0.100000,338,929
S1-N60,biz-01,0,completed,62,58,58,0.452849,0.064516,364,4510
S1-N60,biz-01,1,completed,60,58,58,0.445508,0.033333,364,3392
S1-N60,biz-02,0,completed,61,53,53,0.424654,0.131148,359,3239
S1-N60,biz-02,1,completed,62,48,48,0.390786,0.225806,359,5423
S1-N60,biz-07,0,completed,61,41,41,0.352682,0.327869,358,3757
S1-N60,biz-07,1,completed,60,44,44,0.374113,0.266667,358,3864
S1-N60,prod-01,0,completed,60,53,53,0.413461,0.116667,362,3252
S1-N60,prod-01,1,completed,60,54,54,0.418880,0.100000,362,2723
S1-N60,prod-07,0,completed,60,36,36,0.375629,0.400000,488,5841
S1-N60,prod-07,1,completed,59,42,42,0.387155,0.288136,488,5194
S1-N60,prod-08,0,completed,60,54,54,0.442622,0.100000,362,6016
S1-N60,prod-08,1,completed,59,50,50,0.414032,0.152542,362,4880
S1-N60,sci-01,0,completed,59,51,51,0.434006,0.135593,345,6401
S1-N60,sci-01,1,completed,61,54,54,0.430679,0.114754,345,5800
S1-N60,sci-02,0,completed,60,49,49,0.408159,0.183333,345,3603
S1-N60,sci-02,1,completed,60,49,49,0.387456,0.183333,345,3840
S1-N60,sci-07,0,completed,62,44,44,0.367036,0.290323,347,6505
S1-N60,sci-07,1,completed,60,45,45,0.369917,0.250000,347,3512
S1-N60,aut-01,0,completed,61,48,48,0.418583,0.213115,339,2457
S1-N60,aut-01,1,completed,61,49,49,0.476138,0.196721,339,3412
S1-N60,aut-07,0,completed,61,51,51,0.498135,0.163934,341,4187
S1-N60,aut-07,1,completed,61,47,47,0.481045,0.229508,341,2905
S1-N60,aut-08,0,completed,61,53,53,0.463671,0.131148,338,2817
S1-N60,aut-08,1,completed,61,54,54,0.475208,0.114754,338,2719
S1-ELOW,biz-01,0,completed,30,27,27,0.449221,0.100000,364,1279
S1-ELOW,biz-01,1,completed,30,29,29,0.454486,0.033333,364,1303
