arm,brief,replicate,state,raw_candidates,pool_size,distinct_k,pool_diversity,collapse_rate,input_tokens,output_tokens
S1B-APRIME,aut-01,0,completed,59,59,28,0.422949,0.525424,11917,9143
S1B-APRIME,aut-01,1,completed,60,60,27,0.405934,0.550000,13138,8813
S1B-APRIME,aut-02,0,completed,60,60,36,0.430252,0.400000,11837,9430
S1B-APRIME,aut-02,1,completed,60,60,36,0.408611,0.400000,11845,9174
S1B-APRIME,aut-03,0,completed,60,60,37,0.454437,0.383333,12304,8188
S1B-APRIME,aut-03,1,completed,60,60,34,0.430368,0.433333,13592,8898
S1B-APRIME,aut-07,0,completed,60,60,29,0.447436,0.516667,12413,10513
S1B-APRIME,aut-07,1,completed,60,60,23,0.428322,0.616667,13657,8222
S1B-APRIME,aut-08,0,completed,60,60,35,0.418219,0.416667,11664,8351
S1B-APRIME,aut-08,1,completed,60,60,28,0.396652,0.533333,12110,8339
S1B-APRIME,aut-09,0,completed,60,60,25,0.373587,0.583333,13088,7708
S1B-APRIME,aut-09,1,completed,60,60,23,0.388295,0.616667,12518,9614
S1B-APRIME,biz-01,0,completed,60,60,26,0.390734,0.566667,19054,12795
S1B-APRIME,biz-01,1,completed,60,60,33,0.398396,0.450000,20063,12680
S1B-APRIME,biz-02,0,completed,60,60,13,0.291689,0.783333,15950,10586
S1B-APRIME,biz-02,1,completed,61,61,18,0.328959,0.704918,16474,10464
S1B-APRIME,biz-03,0,completed,61,61,27,0.392434,0.557377,16778,12219
S1B-APRIME,biz-03,1,completed,60,60,25,0.377857,0.583333,17095,11883
S1B-APRIME,biz-07,0,completed,60,60,14,0.267973,0.766667,16987,10238
S1B-APRIME,biz-07,1,completed,60,60,14,0.276861,0.766667,16203,10593
S1B-APRIME,biz-08,0,completed,60,60,25,0.359834,0.583333,20583,11572
S1B-APRIME,biz-08,1,completed,60,60,23,0.370302,0.616667,22620,12676
S1B-APRIME,biz-09,0,completed,60,60,23,0.376412,0.616667,20294,11650
S1B-APRIME,biz-09,1,completed,60,60,25,0.384481,0.583333,25506,11930
S1B-APRIME,prod-01,0,completed,60,60,20,0.342349,0.666667,16937,9903
S1B-APRIME,prod-01,1,completed,50,50,17,0.348412,0.660000,19531,8258
S1B-APRIME,prod-02,0,completed,60,60,16,0.320603,0.733333,19226,12124
S1B-APRIME,prod-02,1,completed,60,60,21,0.326109,0.650000,24956,13416
S1B-APRIME,prod-03,0,completed,60,60,30,0.555855,0.500000,22245,8014
S1B-APRIME,prod-03,1,completed,60,60,31,0.546209,0.483333,14113,8762
S1B-APRIME,prod-07,0,completed,60,60,33,0.400206,0.450000,30397,13755
S1B-APRIME,prod-07,1,completed,60,60,34,0.391916,0.433333,28922,14401
S1B-APRIME,prod-08,0,completed,60,60,23,0.346499,0.616667,17244,12838
S1B-APRIME,prod-08,1,completed,61,61,22,0.339999,0.639344,16772,12022
S1B-APRIME,prod-09,0,completed,60,60,29,0.414947,0.516667,19703,12458
S1B-APRIME,prod-09,1,completed,60,60,34,0.406179,0.433333,22720,12114
S1B-APRIME,sci-01,0,completed,60,60,33,0.397583,0.450000,19498,13397
S1B-APRIME,sci-01,1,completed,60,60,35,0.390713,0.416667,25209,15776
S1B-APRIME,sci-02,0,completed,60,60,25,0.415205,0.583333,19439,12638
S1B-APRIME,sci-02,1,completed,61,61,31,0.428100,0.491803,22093,14128
S1B-APRIME,sci-03,0,completed,50,50,25,0.437169,0.500000,18936,15029
S1B-APRIME,sci-03,1,completed,61,61,23,0.435964,0.622951,18327,13557
S1B-APRIME,sci-07,0,completed,59,59,18,0.334680,0.694915,23955,16180
S1B-APRIME,sci-07,1,completed,60,60,28,0.372388,0.533333,20939,17381
S1B-APRIME,sci-08,0,completed,55,55,35,0.431828,0.363636,21647,18556
S1B-APRIME,sci-08,1,completed,45,45,28,0.411355,0.377778,24570,19656
S1B-APRIME,sci-09,0,completed,60,60,51,0.471847,0.150000,19286,13354
S1B-APRIME,sci-09,1,completed,62,62,45,0.471009,0.274194,21296,15537
S1B-PANEL,aut-01,0,completed,60,60,56,0.456512,0.066667,18448,14265
S1B-PANEL,aut-01,1,completed,60,60,50,0.452070,0.166667,20956,12945
S1B-PANEL,aut-02,0,completed,58,58,53,0.437243,0.086207,18351,12473
S1B-PANEL,aut-02,1,completed,55,55,46,0.449855,0.163636,19979,13227
S1B-PANEL,aut-03,0,completed,55,55,51,0.469247,0.072727,15089,12342
S1B-PANEL,aut-03,1,completed,60,60,49,0.469343,0.183333,17068,11751
S1B-PANEL,aut-07,0,completed,60,60,51,0.461318,0.150000,17529,13472
S1B-PANEL,aut-07,1,completed,60,60,51,0.492478,0.150000,18285,13870
S1B-PANEL,aut-08,0,completed,61,61,49,0.465670,0.196721,17284,14307
S1B-PANEL,aut-08,1,completed,56,56,44,0.437108,0.214286,16154,14222
S1B-PANEL,aut-09,0,completed,60,60,53,0.451244,0.116667,19188,12246
S1B-PANEL,aut-09,1,completed,60,60,48,0.422116,0.200000,22143,13798
S1B-PANEL,biz-01,0,completed,60,60,55,0.454098,0.083333,21687,17662
S1B-PANEL,biz-01,1,completed,57,57,44,0.421377,0.228070,23978,17311
S1B-PANEL,biz-02,0,completed,56,56,38,0.369831,0.321429,24888,15310
S1B-PANEL,biz-02,1,completed,60,60,41,0.374009,0.316667,20176,14716
S1B-PANEL,biz-03,0,completed,60,60,47,0.397671,0.216667,27736,14400
S1B-PANEL,biz-03,1,completed,61,61,44,0.393292,0.278689,21473,16715
S1B-PANEL,biz-07,0,completed,60,60,35,0.353745,0.416667,24272,14730
S1B-PANEL,biz-07,1,completed,60,60,35,0.352401,0.416667,22290,14410
S1B-PANEL,biz-08,0,completed,58,58,41,0.396694,0.293103,25476,14832
S1B-PANEL,biz-08,1,completed,60,60,48,0.399298,0.200000,23066,14866
S1B-PANEL,biz-09,0,completed,59,59,48,0.419502,0.186441,22435,16572
S1B-PANEL,biz-09,1,completed,59,59,46,0.404676,0.220339,21322,16875
S1B-PANEL,prod-01,0,completed,60,60,48,0.415815,0.200000,21582,12670
S1B-PANEL,prod-01,1,completed,60,60,51,0.444578,0.150000,19857,12882
S1B-PANEL,prod-02,0,completed,60,60,43,0.374367,0.283333,23872,16061
S1B-PANEL,prod-02,1,completed,60,60,46,0.388157,0.233333,21308,15640
S1B-PANEL,prod-03,0,completed,60,60,58,0.559977,0.033333,19640,14229
S1B-PANEL,prod-03,1,completed,60,60,55,0.562043,0.083333,23866,12459
S1B-PANEL,prod-07,0,completed,55,55,53,0.458831,0.036364,28919,19702
S1B-PANEL,prod-07,1,completed,60,60,47,0.456033,0.216667,28631,15367
S1B-PANEL,prod-08,0,completed,60,60,48,0.393477,0.200000,20818,14798
S1B-PANEL,prod-08,1,completed,60,60,47,0.406893,0.216667,23441,16230
S1B-PANEL,prod-09,0,completed,60,60,53,0.492935,0.116667,19945,13459
S1B-PANEL,prod-09,1,completed,55,55,47,0.452721,0.145455,21317,14006
S1B-PANEL,sci-01,0,completed,50,50,47,0.466634,0.060000,25288,18431
S1B-PANEL,sci-01,1,completed,51,51,44,0.428748,0.137255,22765,18128
S1B-PANEL,sci-02,0,completed,60,60,47,0.416952,0.216667,22448,17924
S1B-PANEL,sci-02,1,completed,58,58,48,0.430689,0.172414,23402,17388
S1B-PANEL,sci-03,0,completed,57,57,53,0.470182,0.070175,24437,19118
S1B-PANEL,sci-03,1,completed,48,48,45,0.468810,0.062500,25731,17959
S1B-PANEL,sci-07,0,completed,46,46,41,0.425138,0.108696,23979,20133
S1B-PANEL,sci-07,1,completed,55,55,45,0.409186,0.181818,29917,18742
S1B-PANEL,sci-08,0,failed,,,,,,17659,19279
S1B-PANEL,sci-08,1,failed,,,,,,21434,20507
S1B-PANEL,sci-09,0,failed,,,,,,14819,19890
S1B-PANEL,sci-09,1,completed,51,51,49,0.492018,0.039216,23620,21089
S1B-SOLO60,aut-01,0,completed,61,61,49,0.464650,0.196721,1287,4770
S1B-SOLO60,aut-01,1,completed,64,64,56,0.477811,0.125000,1412,4567
S1B-SOLO60,aut-02,0,completed,60,60,51,0.427414,0.150000,1411,2899
S1B-SOLO60,aut-02,1,completed,61,61,52,0.449598,0.147541,1344,2197
S1B-SOLO60,aut-03,0,completed,74,74,65,0.498250,0.121622,1225,2921
S1B-SOLO60,aut-03,1,completed,61,61,58,0.514710,0.049180,1186,3089
S1B-SOLO60,aut-07,0,completed,57,57,54,0.494536,0.052632,1289,2240
S1B-SOLO60,aut-07,1,completed,61,61,57,0.518507,0.065574,1169,1964
S1B-SOLO60,aut-08,0,completed,60,60,51,0.475715,0.150000,1492,5330
S1B-SOLO60,aut-08,1,completed,61,61,54,0.492911,0.114754,3368,4687
S1B-SOLO60,aut-09,0,completed,59,59,52,0.463866,0.118644,1389,5172
S1B-SOLO60,aut-09,1,completed,60,60,51,0.467457,0.150000,2479,5007
S1B-SOLO60,biz-01,0,completed,60,60,55,0.436792,0.083333,3313,4492
S1B-SOLO60,biz-01,1,completed,63,63,58,0.458867,0.079365,6546,5202
S1B-SOLO60,biz-02,0,completed,61,61,45,0.410339,0.262295,1581,4045
S1B-SOLO60,biz-02,1,completed,60,60,48,0.398277,0.200000,4764,3538
S1B-SOLO60,biz-03,0,completed,61,61,54,0.463355,0.114754,5927,6528
S1B-SOLO60,biz-03,1,completed,60,60,58,0.447248,0.033333,1918,3736
S1B-SOLO60,biz-07,0,completed,61,61,40,0.360330,0.344262,4600,4636
S1B-SOLO60,biz-07,1,completed,60,60,41,0.409994,0.316667,3167,4794
S1B-SOLO60,biz-08,0,completed,64,64,59,0.499720,0.078125,1916,5324
S1B-SOLO60,biz-08,1,completed,62,62,60,0.521261,0.032258,4589,4448
S1B-SOLO60,biz-09,0,completed,60,60,54,0.464970,0.100000,1873,3535
S1B-SOLO60,biz-09,1,completed,60,60,49,0.460939,0.183333,1752,4255
S1B-SOLO60,prod-01,0,completed,60,60,58,0.434906,0.033333,1630,5581
